country,city,latitude,longitude
Thailand,,13.92265,100.3943
Thailand,Bangkok,13.76658,100.5363
Thailand,Bangkok,13.76658,100.5363
Thailand,Bangkok,13.76658,100.5363
United States,Chicago,41.8781,-87.6298
United States,Snohomish County,48.04805,-121.697
Vietnam,Nha Trang,12.2388,109.1967
Vietnam,Nha Trang,12.2388,109.1967
Malaysia,,2.0506130000000002,103.3899
Australia,Sydney,-32.23834,147.0045
Australia,Sydney,-32.23834,147.0045
Australia,Sydney,-32.23834,147.0045
Australia,Melbourne,-37.8136,144.9631
United States,Orange County,33.70316,-117.76100000000001
Thailand,Bangkok,13.76658,100.5363
Thailand,Hua Hin District,,
Singapore,Sengkang General Hospital,1.3954950000000002,103.8934
Thailand,,15.179910000000001,101.0156
South Korea,Seoul,37.56667,126.9667
Canada,Toronto,43.667256,-79.39181500000001
Japan,,35.71145,139.4468
China,Zhuhai City,22.16925,113.361
China,Zhuhai City,22.16925,113.361
China,Zhuhai City,22.16925,113.361
China,Zhuhai City,22.16925,113.361
China,Foshan City,23.0131,112.9444
China,Foshan City,23.0131,112.9444
China,Foshan City,23.0131,112.9444
China,Foshan City,23.0131,112.9444
China,Huizhou City,23.24435,114.4983
China,Huizhou City,23.24435,114.4983
China,Huizhou City,23.24435,114.4983
China,Huizhou City,23.24435,114.4983
China,Yangjiang City,22.037689999999998,111.7726
China,Yangjiang City,22.037689999999998,111.7726
China,Yangjiang City,22.037689999999998,111.7726
China,Yangjiang City,22.037689999999998,111.7726
China,Yangjiang City,22.037689999999998,111.7726
China,Shaoguan City,24.82198,113.7723
